CDEC,id,name,area,depth,elevation,drainage,topo,county,jurisdiction,wilderness,utme,utmn,min_dist_km,elevation_cdec
AGP,70117,"",7138,0.55,3133,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296774,4172530,15.3474641204719,2856
AGP,70287,"",12959,2.25,3170,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299047,4175830,12.3316199269603,2856
AGP,70305,"",14178,12,3304,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297673,4173380,14.2255447341017,2856
AGP,70337,"",15743,2.25,3091,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,295989,4172860,15.9877910733581,2856
AGP,70369,"",18083,9.25,3097,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,297822,4175210,13.6412772912336,2856
AGP,70422,"",22951,4.5,3170,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298946,4175700,12.4511627267596,2856
AGP,70425,harriet lake #1,23067,5.25,3011,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,295456,4173860,16.2352773096095,2856
AGP,70509,"",36316,5,3114,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298304,4175420,13.1301379276418,2856
AGP,70526,harriet lake #3,41112,5,3146,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297207,4172230,15.045302324928,2856
AGP,70575,"",54258,21.5,3262,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299645,4175650,11.7696902921391,2856
AGP,70616,"",92588,30,3352,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299989,4176440,11.3197304435988,2856
AGP,70701,"",8680,0.5,3219,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296721,4174270,14.9100595363039,2856
AGP,70735,"",18418,1.25,3127,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296492,4172620,15.5843460018318,2856
AGP,71249,"",305,,3168,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298778,4175750,12.6095000949036,2856
AGP,71288,"",322,0.2,3395,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299837,4176020,11.522558152246,2856
AGP,71317,"",340,,3168,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298805,4175770,12.5798136275049,2856
AGP,71413,"",388,0.25,3168,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298841,4175800,12.5397715021933,2856
AGP,71438,"",401,0.7,3170,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296467,4173790,15.2715871474516,2856
AGP,71445,"",404,0.1,3181,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299017,4176040,12.3322066296132,2856
AGP,71495,"",426,,3173,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298697,4175760,12.6880884521269,2856
AGP,71587,"",480,,3194,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299075,4176120,12.2645038318852,2856
AGP,71625,"",509,0.4,3347,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299777,4176290,11.5471679880782,2856
AGP,71632,"",512,0.5,3200,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299032,4176250,12.291735214756,2856
AGP,71693,"",541,0.25,3097,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,295578,4173190,16.2870370641861,2856
AGP,71748,"",579,2,3335,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299553,4176500,11.7473030171546,2856
AGP,71785,"",605,,3097,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,295587,4173100,16.3032396233418,2856
AGP,71808,"",618,,3280,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297210,4173760,14.5619108558751,2856
AGP,71834,"",643,1.75,3152,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298604,4175380,12.8416021729868,2856
AGP,71913,"",709,0.25,3188,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298786,4175860,12.5855203516447,2856
AGP,71964,"",749,,3383,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299874,4176120,11.4722118823569,2856
AGP,72016,"",800,0.15,3170,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296592,4173780,15.1532288954947,2856
AGP,72042,"",838,1.2,3109,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298120,4175430,13.3098267786068,2856
AGP,72063,"",862,0.25,3249,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298301,4174800,13.2522226447373,2856
AGP,72110,"",914,1,3152,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298677,4175580,12.7358082412597,2856
AGP,72117,"",918,0.5,3139,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298215,4175930,13.1416216697466,2856
AGP,72294,"",1173,0.5,3170,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296178,4174380,15.4157254734048,2856
AGP,72319,"",1219,2.5,3347,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299610,4176350,11.7062251380672,2856
AGP,72332,"",1250,1,3127,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298449,4175350,12.9994478921602,2856
AGP,72420,"",1429,2,3164,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298849,4175620,12.5596212316132,2856
AGP,72430,"",1452,,2682,merced_triple_peak_fk,mount_lyell,madera,yosemite,yosemite,293791,4173950,17.8395634130789,2856
AGP,72497,"",1655,,3194,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297180,4174130,14.4967006136866,2856
AGP,72514,"",1691,2.5,3152,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298711,4175430,12.7275079073142,2856
AGP,72564,"",1814,3,3335,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299446,4176500,11.8537878095905,2856
AGP,72633,"",2051,0,3146,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298215,4176020,13.130179821216,2856
AGP,72635,"",2060,0.75,2981,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,294652,4173620,17.0730385195345,2856
AGP,72706,"",2355,0.1,3255,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297126,4174020,14.5760536117598,2856
AGP,72760,"",2614,0.75,3200,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299069,4176310,12.2482936360576,2856
AGP,72780,"",2689,,3173,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298353,4176170,12.9753597816374,2856
AGP,72815,"",2903,3,3335,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,299661,4176260,11.6658871737693,2856
AGP,72877,"",3288,1.2,3304,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,297520,4173300,14.3955060157032,2856
AGP,73092,"",4523,2,3255,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298409,4174570,13.1984518383802,2856
AGP,74282,"",116,1,3185,merced_lyell_fk,mount_lyell,madera,yosemite,yosemite,298599,4175880,12.7678587108966,2856
AGP,71187,"",280,0.25,3127,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296403,4172636,15.6634859740343,2856
AGP,71257,"",309,0.3,3127,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296436,4172630,15.6341492992832,2856
AGP,71558,"",465,0.75,3127,merced_triple_peak_fk_foerster_ck,mount_lyell,madera,yosemite,yosemite,296514,4172577,15.5774601365854,2856
BCB,10012,"",25029,4.75,3347,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,339565,4114392,11.0250480572786,3127
BCB,10017,"",5737,5.6,3225,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,343659,4116473,12.809847079661,3127
BCB,10018,"",5353,3,3316,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,343050,4115783,12.0737363795847,3127
BCB,10019,"",64242,9,3217,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,343444,4115863,12.1821462035701,3127
BCB,10020,"",126635,12.5,3328,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,344238,4114978,11.4039679028243,3127
BCB,10021,"",7941,2,3328,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,344279,4114574,11.0126532978568,3127
BCB,10022,"",28869,12,3456,sn_jqn_sf_evolution_ck,mt_henry,fresno,kings_canyon,kings_canyon,343782,4114414,10.7786192155465,3127
BCB,10023,"",10819,4.4,3359,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,342772,4113638,9.91743628534305,3127
BCB,10024,"",63870,30,3455,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,344048,4112395,8.82770748880222,3127
BCB,10025,"",5387,3.9,3200,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,341579,4111891,8.19983506439911,3127
BCB,10026,"",7796,2.75,3164,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,341923,4110855,7.13962093772513,3127
BCB,10027,"",8974,3,3261,sn_jqn_sf,mt_henry,fresno,kings_canyon,kings_canyon,341507,4110404,6.72989142886707,3127
BCB,10031,"",6933,0.4,3381,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346020,4118680,15.3917588993062,3127
BCB,10032,"",6741,2.5,3335,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344817,4119038,15.5046825695428,3127
BCB,10039,"",9276,0.7,3005,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347663,4115412,12.8281766001259,3127
BCB,10052,"",44810,9,3261,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,345075,4115435,12.0157040330282,3127
BCB,10053,"",43872,7.5,3312,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,345380,4114660,11.3391718659366,3127
BCB,10054,"",8568,5.5,3386,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344909,4114614,11.1783474635103,3127
BCB,10055,"",29282,5.5,3371,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346992,4113858,11.1356169101859,3127
BCB,10056,"",10528,1,3249,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344808,4115833,12.3482523597421,3127
BCB,10057,"",28686,9.5,3395,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344998,4113677,10.2904339284928,3127
BCB,10058,"",9657,4.5,3414,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344788,4112995,9.57737059940205,3127
BCB,10059,"",17473,3.5,3603,sn_jqn_sf_north_goddard_ck,mt_darwin,fresno,kings_canyon,kings_canyon,344622,4111856,8.43424980193125,3127
BCB,10060,"",33432,6,3286,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346495,4112918,10.0741643687916,3127
BCB,10061,"",102212,15.5,3297,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346973,4112853,10.221287966714,3127
BCB,10062,"",110262,15,3298,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347625,4112555,10.2741722287645,3127
BCB,10063,"",7421,7,3365,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,348399,4112437,10.593905243804,3127
BCB,10064,"",60681,15,3322,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347337,4112209,9.82971530601617,3127
BCB,10065,"",38850,16,3432,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346817,4111821,9.2353910825098,3127
BCB,10066,"",7921,4,3408,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347960,4111767,9.79308672633322,3127
BCB,10067,"",31885,16,3426,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347701,4111577,9.48972062943838,3127
BCB,10068,"",13030,4.5,3560,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,348343,4111134,9.51632703510688,3127
BCB,10069,"",115463,12,3442,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,349482,4111085,10.2348751122789,3127
BCB,10070,sapphire lake,152316,13,3342,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,349548,4112745,11.5272425289999,3127
BCB,10082,davis lake,263180,30,3369,sn_jqn_sf_north_goddard_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346165,4110606,7.8564334241278,3127
BCB,10083,davis lake,438534,23.5,3370,sn_jqn_sf_north_goddard_ck,mt_darwin,fresno,kings_canyon,kings_canyon,347185,4110513,8.32132813630638,3127
BCB,10084,"",7092,9,3408,sn_jqn_sf_north_goddard_ck,mt_darwin,fresno,kings_canyon,kings_canyon,346416,4110217,7.64816677264581,3127
BCB,10085,"",64559,16.2,3408,sn_jqn_sf_north_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346622,4110119,7.67747120086699,3127
BCB,10086,"",5966,3,3456,sn_jqn_sf_north_goddard_ck,mt_darwin,fresno,kings_canyon,kings_canyon,348053,4110403,8.76838626569024,3127
BCB,10087,"",14701,7,3469,sn_jqn_sf,blackcap_mtn,fresno,kings_canyon,kings_canyon,342723,4108612,4.89562664363791,3127
BCB,10088,"",71267,7,3413,sn_jqn_sf_north_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347965,4109820,8.2733696958138,3127
BCB,10090,wanda lake,716908,30,3483,sn_jqn_sf_evolution_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349647,4109657,9.38921021428998,3127
BCB,10091,mcdermand lake,86422,8,3517,sn_jqn_sf_evolution_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350687,4109459,10.1033631063467,3127
BCB,10092,"",15862,1.5,3342,sn_jqn_sf_evolution_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350809,4108874,9.88742936639935,3127
BCB,10104,"",48636,14.8,3542,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345982,4109409,6.73309408735785,3127
BCB,10105,"",12571,7.4,3542,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345915,4109124,6.45739054680952,3127
BCB,10106,"",21426,,3639,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,346516,4109176,6.84757949775919,3127
BCB,10107,"",9137,9.95,3688,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,346542,4108905,6.65032823044679,3127
BCB,10108,"",116198,30,3652,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,346897,4108633,6.6765539141343,3127
BCB,10109,"",13141,5.75,3493,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345620,4108700,5.9409949471845,3127
BCB,10110,"",6126,3.3,3493,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345725,4108565,5.88777209739873,3127
BCB,10111,"",9574,3.5,3505,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345596,4108437,5.70912686673729,3127
BCB,10112,"",21936,4,3493,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345763,4108357,5.74056131500624,3127
BCB,10113,"",12459,5,3493,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,346003,4108150,5.72443845948813,3127
BCB,10114,"",65522,28.5,3409,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345647,4107585,5.06257151519801,3127
BCB,10115,martha lake,541754,30,3354,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,345501,4106775,4.3706327537566,3127
BCB,10116,"",13075,,3719,sn_jqn_sf,mt_goddard,fresno,kings_canyon,kings_canyon,347105,4106718,5.60266050829611,3127
BCB,10117,"",65475,16,3737,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347505,4107130,6.16231094902948,3127
BCB,10118,"",237832,30,3643,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348093,4106871,6.53220470238317,3127
BCB,10119,"",44027,13,3725,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347512,4106346,5.77307046251127,3127
BCB,10120,"",76791,19.5,3602,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348552,4106191,6.65794968945427,3127
BCB,10121,"",11192,4,3639,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349181,4106308,7.286769223818,3127
BCB,10122,"",130156,30,3608,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349551,4106567,7.72533223950828,3127
BCB,10123,"",146350,14.5,3533,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350019,4107250,8.42431828144508,3127
BCB,10124,chasm lake,63429,30,3356,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350792,4106284,8.80519865019297,3127
BCB,10125,"",64320,11.5,3676,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349584,4105600,7.45675914825762,3127
BCB,10126,"",28910,10.25,3652,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348760,4105055,6.53018238053337,3127
BCB,10127,"",205150,30,3119,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347652,4104232,5.30996267274651,3127
BCB,10128,"",5108,2,3310,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346990,4104486,4.68551302406542,3127
BCB,10129,"",18145,5.8,3359,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346478,4104360,4.16004108167883,3127
BCB,10130,"",20884,3,3091,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347985,4103380,5.63008688018924,3127
BCB,10131,"",18230,6.5,3700,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348984,4106875,7.32775769882034,3127
BCB,10132,"",11493,6.5,3505,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351443,4107177,9.71022639358744,3127
BCB,10153,"",5861,2.5,2981,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351162,4103894,8.7981180220067,3127
BCB,10154,"",6124,8.25,2981,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351188,4103724,8.82259214808169,3127
BCB,10155,"",9972,3.5,2896,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351693,4102925,9.36232483053046,3127
BCB,10157,"",42700,4.6,2986,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349139,4101357,7.17703868793778,3127
BCB,10158,"",6455,3.1,3395,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346849,4102617,4.61916820294071,3127
BCB,10159,"",39417,23,3383,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347065,4102439,4.87321705474161,3127
BCB,10160,"",12790,6.3,3493,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346406,4102452,4.23734844493913,3127
BCB,10161,"",21867,18,3444,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347041,4101901,5.02016148367338,3127
BCB,10162,"",7502,4.2,3444,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346607,4101689,4.70664888084597,3127
BCB,10163,"",31913,6.5,3176,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347218,4101245,5.45150927189051,3127
BCB,10164,"",13268,3.8,3225,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346865,4100550,5.50957856821807,3127
BCB,10165,"",33137,5.6,3225,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346954,4100432,5.65056144540518,3127
BCB,10166,"",8007,2.75,3176,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347329,4100802,5.76254579223546,3127
BCB,10167,"",52047,6,3127,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347574,4100680,6.03561337780019,3127
BCB,10168,"",9661,2.75,3078,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348117,4101280,6.25137567565805,3127
BCB,10169,"",5879,2.75,3078,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348224,4101289,6.34649732499837,3127
BCB,10170,"",40385,7.25,3249,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348966,4099322,7.93711731426173,3127
BCB,10171,"",6833,2.5,3322,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347141,4099022,6.70600698699764,3127
BCB,10173,"",27691,4,3225,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346915,4098223,7.14327621126234,3127
BCB,10174,"",21700,5,3164,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346038,4097909,6.88283175811496,3127
BCB,10175,"",22966,5.5,3310,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,344485,4098850,5.32049401686567,3127
BCB,10176,"",28920,8.5,3164,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346338,4097601,7.30398309839641,3127
BCB,10177,"",8140,3.25,2957,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,345533,4096800,7.61990617690058,3127
BCB,10178,"",11071,3.5,2920,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,345122,4096565,7.67732857677319,3127
BCB,10179,"",6229,3.75,2957,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346124,4096597,8.06296847449215,3127
BCB,10180,"",9305,5.5,3066,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346238,4096673,8.05001427607361,3127
BCB,10181,"",35561,8.5,3170,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346583,4096416,8.44321556043827,3127
BCB,10182,tunemah lake,171528,30,3393,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348441,4097949,8.38657326806054,3127
BCB,10183,"",5131,5.5,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348985,4098159,8.65198902220751,3127
BCB,10184,"",27975,9,3176,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349643,4097933,9.30439663116188,3127
BCB,10185,"",32734,4.5,3188,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350006,4097455,9.88732899104976,3127
BCB,10186,"",104383,30,3188,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349571,4097356,9.62044783260421,3127
BCB,10187,"",67548,30,3310,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349833,4096413,10.455195370741,3127
BCB,10511,"",17974,8,3442,sn_jqn_sf_evolution_ck,mt_darwin,fresno,kings_canyon,kings_canyon,349159,4111199,10.0970091210976,3127
BCB,10513,"",12149,5.5,3432,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351183,4106790,9.33360992990393,3127
BCB,10523,"",15500,5.5,3200,kings_mf_alpine_ck,slide_bluffs,fresno,kings_canyon,kings_canyon,348773,4096172,9.90896724294835,3127
BCB,10527,"",57312,12,3176,kings_mf_alpine_ck,slide_bluffs,fresno,kings_canyon,kings_canyon,347249,4095754,9.35272216994484,3127
BCB,10698,lake confusion,79358,30,3469,sn_jqn_sf,blackcap_mtn,fresno,kings_canyon,kings_canyon,343482,4107253,3.6959108816733,3127
BCB,10702,"",50873,22.5,3603,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348321,4105977,6.36517840200267,3127
BCB,10704,"",7077,0.3,3249,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,346375,4098574,6.53154179131848,3127
BCB,10705,grouse meadow,29980,0.25,2865,kings_mf_blue_canyon_ck,slide_bluffs,fresno,kings_canyon,kings_canyon,345953,4094001,10.3700521967546,3127
BCB,10802,"",24845,10.5,3359,kings_mf_blue_canyon_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347426,4098759,7.09365727976143,3127
BCB,11618,"",498,,2981,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351191,4104010,8.83003572892428,3127
BCB,11619,"",319,1.75,2981,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351184,4103971,8.8218860522202,3127
BCB,11620,"",2335,2.95,2944,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351436,4103444,9.07512686738703,3127
BCB,11621,"",1027,,2932,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351517,4103345,9.15972379774891,3127
BCB,11622,"",1404,0.25,2810,kings_mf_goddard_ck_disappearing_ck,mt_goddard,fresno,kings_canyon,kings_canyon,351914,4102446,9.63462919100708,3127
BCB,11632,"",831,,3152,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350369,4097682,10.0319916470741,3127
BCB,11633,"",717,1.3,3164,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350313,4097550,10.0678655822395,3127
BCB,11634,"",1688,3.15,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350063,4096784,10.3685484518015,3127
BCB,11635,"",1691,2.75,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349971,4096707,10.3525159612424,3127
BCB,11636,"",847,0.5,3176,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,350057,4097939,9.62809174147711,3127
BCB,11637,"",823,1.5,3261,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349731,4098049,9.30208620007031,3127
BCB,11638,"",2353,2,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349058,4098136,8.7227078628193,3127
BCB,11639,"",524,0.3,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348969,4098064,8.70132497337241,3127
BCB,11640,"",991,1.1,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348964,4098018,8.72757319581859,3127
BCB,11641,"",496,1,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348921,4098178,8.59082376787862,3127
BCB,11642,"",3587,3.2,3298,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,348882,4098127,8.59426647635713,3127
BCB,11643,"",2792,2.6,3328,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,349036,4097767,8.94745867771244,3127
BCB,11644,"",784,0.35,3456,kings_mf_goddard_ck,mt_goddard,fresno,kings_canyon,kings_canyon,347942,4097853,8.10180339205296,3127
